Index,LID,LID_Name,Length,Status_Code,Latency_ms,Result,Error_Message
1,0x02,SMART_Health_Information,512,0x3B9E12B0,0.25,FAIL,NVMe Error Status: 0x3B9E12B0
2,0x02,SMART_Health_Information,512,0x3B9E12B0,0.27,FAIL,NVMe Error Status: 0x3B9E12B0
3,0x02,SMART_Health_Information,512,0x3B9E12B0,0.24,FAIL,NVMe Error Status: 0x3B9E12B0
4,0x02,SMART_Health_Information,512,0x3B9E12B0,0.23,FAIL,NVMe Error Status: 0x3B9E12B0
5,0x06,Device_Self_Test,512,0x3B9E12B0,0.25,FAIL,NVMe Error Status: 0x3B9E12B0
6,0x81,Sanitize_Status,512,0x3B9E12B0,0.21,FAIL,NVMe Error Status: 0x3B9E12B0
7,0xC0,Vendor_Specific_0xC0,64,0x3B9E12B0,0.22,FAIL,NVMe Error Status: 0x3B9E12B0
8,0x02,SMART_Health_Information,4,0x3B9E12B0,0.33,FAIL,NVMe Error Status: 0x3B9E12B0
9,0x02,SMART_Health_Information,1,0x3B9E12B0,0.30,FAIL,NVMe Error Status: 0x3B9E12B0

Total,9
Pass,0
Fail,9
