Index,LID,LID_Name,Length,Status_Code,Latency_ms,Result,Error_Message
1,0x02,SMART_Health_Information,512,-1,0.12,FAIL,DeviceIoControl failed with Windows error 87
2,0x01,Error_Information,1024,-1,0.16,FAIL,DeviceIoControl failed with Windows error 87
3,0x03,Firmware_Slot_Information,512,-1,0.15,FAIL,DeviceIoControl failed with Windows error 87
4,0x05,Commands_Supported_and_Effects,4096,-1,0.14,FAIL,DeviceIoControl failed with Windows error 87
5,0x06,Device_Self_Test,512,-1,0.17,FAIL,DeviceIoControl failed with Windows error 87
6,0x81,Sanitize_Status,512,-1,0.15,FAIL,DeviceIoControl failed with Windows error 87
7,0xC0,Vendor_Specific_0xC0,64,-1,0.15,FAIL,DeviceIoControl failed with Windows error 87
8,0x02,SMART_Health_Information,4,-1,0.14,FAIL,DeviceIoControl failed with Windows error 87
9,0x02,SMART_Health_Information,1,-1,0.12,FAIL,DeviceIoControl failed with Windows error 87

Total,9
Pass,0
Fail,9
