Index,LID,LID_Name,Length,Status_Code,Latency_ms,Result,Error_Message
1,0x02,SMART_Health_Information,512,-1,0.60,FAIL,"Get Log Page (LID=0x02) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87
Miniport-Pass-Through 錯誤: DeviceIoControl (Miniport-Pass-Through) failed with Windows error 1"
2,0x02,SMART_Health_Information,512,-1,0.45,FAIL,"Get Log Page (LID=0x02) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87
Miniport-Pass-Through 錯誤: DeviceIoControl (Miniport-Pass-Through) failed with Windows error 1"
3,0x02,SMART_Health_Information,512,-1,0.40,FAIL,"Get Log Page (LID=0x02) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87
Miniport-Pass-Through 錯誤: DeviceIoControl (Miniport-Pass-Through) failed with Windows error 1"
4,0x02,SMART_Health_Information,512,-1,0.35,FAIL,"Get Log Page (LID=0x02) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87
Miniport-Pass-Through 錯誤: DeviceIoControl (Miniport-Pass-Through) failed with Windows error 1"
5,0x06,Device_Self_Test,512,-1,0.36,FAIL,"Get Log Page (LID=0x06) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87
Miniport-Pass-Through 錯誤: DeviceIoControl (Miniport-Pass-Through) failed with Windows error 1"
6,0x81,Sanitize_Status,512,-1,0.37,FAIL,"Get Log Page (LID=0x81) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87
Miniport-Pass-Through 錯誤: DeviceIoControl (Miniport-Pass-Through) failed with Windows error 1"
7,0xC0,Vendor_Specific_0xC0,64,-1,0.39,FAIL,"Get Log Page (LID=0xC0) 執行失敗。
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87
Miniport-Pass-Through 錯誤: DeviceIoControl (Miniport-Pass-Through) failed with Windows error 1
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117"
8,0x02,SMART_Health_Information,4,-1,0.51,FAIL,"Get Log Page (LID=0x02) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87
Miniport-Pass-Through 錯誤: DeviceIoControl (Miniport-Pass-Through) failed with Windows error 1"
9,0x02,SMART_Health_Information,1,-1,0.37,FAIL,"Get Log Page (LID=0x02) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87
Miniport-Pass-Through 錯誤: DeviceIoControl (Miniport-Pass-Through) failed with Windows error 1"

Total,9
Pass,0
Fail,9
